date,tweets
00:00:00,14709
01:00:00,8794
02:00:00,5923
03:00:00,3541
04:00:00,2329
05:00:00,1994
06:00:00,3387
07:00:00,7305
08:00:00,10168
09:00:00,13310
10:00:00,15339
11:00:00,16024
12:00:00,16201
13:00:00,16179
14:00:00,15538
15:00:00,15405
16:00:00,14513
17:00:00,15410
18:00:00,15034
19:00:00,18550
20:00:00,20560
21:00:00,21159
22:00:00,21303
23:00:00,20352
